,Unnamed: 0,area_id,area,color_r,color_b,color_g,type_id,type
75,75,87,PE,233.0,118.0,239.0,2,Eu2
76,76,88,PEC,210.0,0.0,223.0,2,Eu2
77,77,89,PF,212.0,59.0,223.0,2,Eu2
78,78,90,PFG,240.0,59.0,255.0,2,Eu2
79,79,91,PG,248.0,178.0,255.0,2,Eu2
80,80,92,PGM,223.0,0.0,214.0,2,Eu2
81,81,93,PGa-IPa,255.0,59.0,158.0,2,Eu2
82,82,96,PaIL,255.0,0.0,110.0,4,Dys
83,83,97,PaIM,255.0,118.0,179.0,4,Dys
84,84,100,Pir,0.0,165.0,255.0,5,Agr
85,85,103,ProM,148.0,89.0,233.0,3,Eu1
86,86,104,ProSt,239.0,0.0,231.0,5,Agr
87,87,105,ReI,233.0,59.0,139.0,2,Eu2
88,88,106,S2E,232.0,178.0,255.0,2,Eu2
89,89,107,S2I,197.0,118.0,233.0,2,Eu2
90,90,108,S2PR,157.0,0.0,233.0,2,Eu2
91,91,109,S2PV,167.0,0.0,255.0,2,Eu2
92,92,111,STR,255.0,133.0,159.0,3,Eu1
93,93,112,TE1,233.0,59.0,150.0,3,Eu1
94,94,113,TE2,233.0,118.0,180.0,2,Eu2
95,95,114,TE3,233.0,0.0,128.0,2,Eu2
96,96,115,TEO,255.0,178.0,221.0,2,Eu2
97,97,116,TF,203.0,178.0,255.0,4,Dys
98,98,117,TFO,81.0,0.0,255.0,3,Eu1
99,99,118,TH,113.0,59.0,233.0,5,Agr
100,100,119,TL,117.0,59.0,255.0,3,Eu1
101,101,120,TLO,157.0,118.0,255.0,3,Eu1
102,102,121,TPO,255.0,118.0,197.0,2,Eu2
103,103,122,TPPro,255.0,0.0,151.0,4,Dys
104,104,123,TPro,255.0,59.0,151.0,4,Dys
105,105,124,TPt,223.0,44.0,84.0,2,Eu2
106,106,126,V1,187.0,89.0,255.0,0,Kon
107,107,127,V2,195.0,133.0,239.0,1,Eu3
108,108,128,V3,128.0,0.0,223.0,1,Eu3
109,109,129,V3A,164.0,44.0,255.0,1,Eu3
110,110,130,V4,142.0,0.0,255.0,1,Eu3
111,111,131,V4T,152.0,44.0,239.0,2,Eu2
112,112,132,V5,182.0,133.0,223.0,2,Eu2
113,113,133,V6,169.0,89.0,239.0,2,Eu2
114,114,134,V6A,109.0,0.0,207.0,2,Eu2
115,115,135,VIP,230.0,0.0,255.0,2,Eu2
